script,timestamp_inicio,timestamp_fin,status,detalle
Script 1,20-08-2025 04:00:06,20-08-2025 04:00:06,OK,
Script 1,20-08-2025 04:30:06,20-08-2025 04:30:06,OK,
Script 1,20-08-2025 05:00:06,20-08-2025 05:00:06,OK,
Script 1,20-08-2025 05:30:06,20-08-2025 05:30:06,OK,
Script 1,20-08-2025 06:00:05,20-08-2025 06:00:05,OK,
Script 1,20-08-2025 06:30:05,20-08-2025 06:30:05,OK,
Script 2,20-08-2025 07:00:06,20-08-2025 07:00:06,OK,
Script 2,20-08-2025 07:30:06,20-08-2025 07:30:06,OK,
Script 2,20-08-2025 08:00:08,20-08-2025 08:00:08,OK,
Script 2,20-08-2025 08:30:06,20-08-2025 08:30:06,OK,
Script 3,20-08-2025 09:00:06,20-08-2025 09:00:06,OK,
Script 3,20-08-2025 09:30:06,20-08-2025 09:30:06,OK,
Script 3,20-08-2025 10:00:06,20-08-2025 10:00:06,OK,
Script 3,20-08-2025 10:30:05,20-08-2025 10:30:05,OK,
